model,epoch,train_loss,val_loss,train_acc,val_acc,learning_rate
2_layers_42,1,0.6927226496779401,0.6907579302787781,0.46550522648083625,0.620253164556962,0.0001
2_layers_42,2,0.6914828341940175,0.6873568296432495,0.5777003484320558,0.6645569620253164,0.0001
2_layers_42,3,0.689124786335489,0.6739776134490967,0.5682926829268292,0.6518987341772152,0.0001
2_layers_42,4,0.6739583533743153,0.6081637740135193,0.5857142857142857,0.6772151898734177,0.0001
2_layers_42,5,0.6395947414895763,0.5553971529006958,0.6606271777003484,0.6962025316455697,0.0001
2_layers_42,6,0.6189634255740953,0.5433914661407471,0.6797909407665506,0.7278481012658228,0.0001
2_layers_42,7,0.6012405623560366,0.5230107307434082,0.6979094076655052,0.7468354430379747,0.0001
2_layers_42,8,0.5887890224871428,0.5294933319091797,0.7198606271777004,0.7658227848101266,0.0001
2_layers_42,9,0.5643905012503915,0.5103577971458435,0.7379790940766551,0.7911392405063291,0.0001
2_layers_42,10,0.5727133789788121,0.5209759473800659,0.7379790940766551,0.7531645569620253,0.0001
2_layers_42,11,0.553556105364924,0.5196136832237244,0.7414634146341463,0.7658227848101266,0.0001
2_layers_42,12,0.5439978889797045,0.5155863761901855,0.7397212543554007,0.7911392405063291,0.0001
2_layers_42,13,0.541447973769644,0.506126344203949,0.7411149825783973,0.759493670886076,0.0001
2_layers_42,14,0.5386895913144817,0.5162315368652344,0.7466898954703832,0.7278481012658228,0.0001
2_layers_42,15,0.5427412079728168,0.5239452123641968,0.748432055749129,0.740506329113924,0.0001
2_layers_42,16,0.5311974144500234,0.5113118290901184,0.7498257839721254,0.7531645569620253,0.0001
2_layers_42,17,0.5314523733180502,0.5201323628425598,0.748780487804878,0.7341772151898734,0.0001
2_layers_42,18,0.5302417252374731,0.5037353038787842,0.7470383275261324,0.759493670886076,0.0001
2_layers_42,19,0.5227477395016215,0.5060319304466248,0.7522648083623693,0.7658227848101266,0.0001
2_layers_42,20,0.5290640579617542,0.5177149772644043,0.7439024390243902,0.7848101265822784,0.0001
2_layers_42,21,0.5191328188647395,0.5062974095344543,0.7560975609756098,0.759493670886076,0.0001
2_layers_42,22,0.5182436639847963,0.503400444984436,0.7550522648083624,0.8037974683544303,0.0001
2_layers_42,23,0.5272567388804063,0.4997120499610901,0.7435540069686412,0.7341772151898734,0.0001
2_layers_42,24,0.5134295471336531,0.506232500076294,0.7574912891986063,0.7848101265822784,0.0001
2_layers_42,25,0.5108195012030394,0.508585512638092,0.7540069686411149,0.7784810126582279,0.0001
2_layers_42,26,0.5134079417456752,0.5093343257904053,0.7519163763066202,0.759493670886076,0.0001
2_layers_42,27,0.5181992909182673,0.5158739686012268,0.7543554006968641,0.7784810126582279,0.0001
2_layers_42,28,0.5097972271235093,0.4985497295856476,0.7477351916376307,0.7911392405063291,0.0001
2_layers_42,29,0.5032257709814154,0.5090033411979675,0.7613240418118467,0.7848101265822784,0.0001
2_layers_42,30,0.5196049692838088,0.4943729043006897,0.7480836236933798,0.7784810126582279,0.0001
2_layers_42,31,0.5109971074954324,0.4904575049877167,0.7540069686411149,0.7721518987341772,0.0001
2_layers_42,32,0.4990064113036446,0.5004764199256897,0.7581881533101046,0.7911392405063291,0.0001
2_layers_42,33,0.49384706564571546,0.5044742822647095,0.7672473867595819,0.7784810126582279,0.0001
2_layers_42,34,0.49946846521419025,0.49874815344810486,0.7616724738675958,0.7721518987341772,0.0001
2_layers_42,35,0.49621426540872327,0.4858045279979706,0.7585365853658537,0.7911392405063291,0.0001
2_layers_42,36,0.5059177849603735,0.5048040747642517,0.7609756097560976,0.7341772151898734,0.0001
2_layers_42,37,0.49416539850442304,0.5391342043876648,0.7592334494773519,0.7784810126582279,0.0001
2_layers_42,38,0.4986947800802148,0.49872446060180664,0.7696864111498258,0.7658227848101266,0.0001
2_layers_42,39,0.493630641180536,0.5113627314567566,0.7655052264808362,0.7721518987341772,0.0001
2_layers_42,40,0.5187512286331343,0.5228492021560669,0.7508710801393729,0.7658227848101266,0.0001
2_layers_42,41,0.4966324904690618,0.4930846095085144,0.7679442508710801,0.7721518987341772,0.0001
2_layers_42,42,0.4904277311718982,0.5235466957092285,0.7662020905923345,0.7721518987341772,0.0001
2_layers_42,43,0.4851116058619126,0.530357301235199,0.7745644599303136,0.7721518987341772,0.0001
2_layers_42,44,0.5261196170164191,0.5007285475730896,0.759581881533101,0.7721518987341772,0.0001
2_layers_42,45,0.49184119960536127,0.49715596437454224,0.7616724738675958,0.7911392405063291,0.0001
2_layers_42,46,0.4816776203072589,0.5056192874908447,0.7679442508710801,0.7848101265822784,5e-05
2_layers_42,47,0.4742443587469018,0.5241112112998962,0.7714285714285715,0.7721518987341772,5e-05
2_layers_42,48,0.47200399248496344,0.5135989785194397,0.7707317073170732,0.7658227848101266,5e-05
2_layers_42,49,0.47755286486252496,0.5343266725540161,0.7745644599303136,0.7784810126582279,5e-05
2_layers_42,50,0.4773455067821171,0.5274354815483093,0.7752613240418118,0.7658227848101266,5e-05
2_layers_42,51,0.4700706458610037,0.5349196195602417,0.7731707317073171,0.7721518987341772,5e-05
2_layers_42,52,0.4728568494319916,0.5110859274864197,0.775609756097561,0.7784810126582279,5e-05
2_layers_42,53,0.4703720704368923,0.5303797721862793,0.7749128919860627,0.7784810126582279,5e-05
2_layers_42,54,0.46674063542614813,0.524664580821991,0.7735191637630662,0.7784810126582279,5e-05
2_layers_42,55,0.4670592416887698,0.5420670509338379,0.7804878048780488,0.7658227848101266,5e-05
2_layers_42,56,0.4696979846643365,0.5310611128807068,0.7773519163763066,0.7721518987341772,5e-05
2_layers_42,57,0.4656124736951745,0.5234895944595337,0.7777003484320557,0.7721518987341772,2.5e-05
2_layers_42,58,0.46369930713073065,0.5253264904022217,0.7804878048780488,0.7848101265822784,2.5e-05
2_layers_42,59,0.4591423843217933,0.5340633988380432,0.7825783972125435,0.7848101265822784,2.5e-05
2_layers_42,60,0.46216366990752844,0.534151554107666,0.7822299651567944,0.7784810126582279,2.5e-05
